clean_text,stemmed_text,lemmatized_text,sentiment
desculpa anjo deitei cachinhos ja ameacaram arrumar posto,desculp anjo deit cachinh ja ameac arrum post,desculpa anjo deitei cachinho ja ameacar arrumar posto,0
realmente triste man foda revoltante anyway gente fica tentando buscar explicacao real nao,realment trist man fod revolt anyway gent fic tent busc explicaca real nao,realmente tristir man fodo revoltante anyway gente ficar tentar buscar explicacao real nao,0
semana iniciando leve chegarei provavelmente atrasada,seman inic lev cheg provavel atras,semana iniciar leve chegarar provavelmente atrasar,1
thx amiga pra vc tbm tecnico,thx amig pra vc tbm tecnic,thx amig pra vc tbm tecnico,1
nao,nao,nao,0
regulando poucos nao adianta querer dormir cara meia noite vc ido dormir manha alterando poucos horas,regul pouc nao adiant quer dorm car mei noit vc ido dorm manh alter pouc hor,regular pouco nao adiantar querer dormir cara meia noite vc ir dormir manho alterar pouco hora,1
camiseta daryl talkingdeadnafox,camiset daryl talkingdeadnafox,camiseta daryl talkingdeadnafox,0
roubei gif maravilhoso,roub gif maravilh,roubei gif maravilhoso,1
vou comprar amanha cabelereiro falado so dias recem,vou compr amanh cabelereir fal so dias rec,ir comprar amanha cabelereiro falar so dia recer,0
pessoa linda jeitinho taehyung branco porra krlh tae pele amarelada sao amarelos yoon nao vou falar pq outro igual kai mano negro porra ja deu,pesso lind jeitinh taehyung branc porr krlh tae pel amarel sao amarel yoon nao vou fal pq outr igual kai man negr porr ja deu,pessoa lindar jeitinho taehyung branco porra Krlh tae pele amarelar sao amaror o yoon nao ir falar pq outro igual kai mano negro porra ja dar,1
acabei d banho mnh gatinha eheheh amo gatos p,acab d banh mnh gatinh eheheh amo gat p,acabar d banho mnh gatinha Eheheh amo gato p,1
demorei exatamente pra entender utilidade borracha kkkkk,demor exat pra entend util borrach kkkkk,demorei exatamente pra entender utilidade borracho kkkkk,0
ouvindo camila repeat chorando nao vou show,ouv camil repeat chor nao vou show,ouvir camila repeat chorar nao ir show,0
nao funcao nao escutar quaisquer fa sites curto entao vou apertar play musica ouvidos,nao funca nao escut quaisqu fa sit curt enta vou apert play music ouv,nao funcao nao escutar qualquer fa site curto entao ir apertar play musica ouvir,1
historia la romance andamento ta pouquinho parada voces interesse,histor la romanc andament ta pouquinh par voc inter,historia la romance andamento ta pouquinho parar voce interesse,1
aa sabia,aa sab,aa saber,1
entendo dps conversa qd c cabeca fria pq hj dia pesado dms n ta dando p perder amigo q tao junto c gnt,entend dps convers qd c cabec fri pq hj dia pes dms n ta dand p perd amig q tao junt c gnt,enter dps conversa qd c cabeco fria pq hj dia pesar dms n ta dar p perder amigo q taoer junto c gnt,0
princesa vc nao merece consigo mesma,princes vc nao merec consig mesm,princês vc nao merecer consigo mesmo,0
nao intencao mt triste deixar doguinhos the boyz pra tirar,nao intenca mt trist deix doguinh the boyz pra tir,nao intencao mt tristir deixar doguinho the Boyz pra tirar,0
amo stray kids,amo stray kids,amo stray Kids,0
hj acordei bue disposto ya surgiu ficar casa,hj acord bue dispost ya surg fic cas,hj acordar bue disposto ya surgir ficar casa,1
dificil eh acordadar empinar rabo bebe,dificil eh acordad empin rab beb,dificil eh acordadar empinar rabo beber,0
bebezinha vou chorar amor,bebezinh vou chor amor,bebezinha ir chorar amor,0
nao queria perder ritmo pensando melhor carpete,nao quer perd ritm pens melhor carpet,nao querer perder ritmo pensar bom carpete,0
volta pro ce pfffffvvvvvv queria voltar,volt pro ce pfffffvvvvvv quer volt,volta pro ce pfffffvvvvvv querer voltar,0
pai passar semana prolongado hotel lindo lindo n mae deixar,pai pass seman prolong hotel lind lind n mae deix,pai passar semana prolongar hotel lir lir n mae deixar,0
manda dm email conta,mand dm email cont,mandar dm email contar,1
nao matou tantas pessoas ditadura comunista partido milhoes,nao mat tant pesso ditadur comun part milho,nao matar tanto pessoa ditadurar comunista partir milhoes,1
thanks ja melhorando,thanks ja melhor,thank ja melhorar,1
hahaha fofa voce voce tambem top nao inutil nao devia dado rt nisso,hahah fof voc voc tamb top nao inutil nao dev dad rt niss,hahahar fofa voce voce tambem top nao inutil nao dever dado rt em isso,1
massa la vou valeu,mass la vou val,massa la ir valer,1
lisonjeado singela homenagem nao fiz obrigacao,lisonj singel homenag nao fiz obrigaca,lisonjear singele homenagem nao fiz obrigacao,1
entao so conhecimento,enta so conhec,entao so conhecimento,1
queria cooler quebrou,quer cool quebr,querer cooler quebrar,0
alguem metadinha comigo pedir,algu metadinh comig ped,alguir metadinha comigo pedir,0
seguia p,segu p,seguir p,1
amo pitico,amo pitic,amo pitico,0
pesquisar iconologia pra conseguia programacao resultado escavador ex tomar cu,pesquis iconolog pra consegu programaca result escav ex tom cu,pesquisar iconologia pra conseguia programacao resultado escavador ex tomar cu,1
vida dificil verdade inegavel podemos facilitara varios modos quiser conversar dps ouvir,vid dificil verdad inegavel pod facilit vari mod quis convers dps ouv,vida dificil verdade inegavel poder facilitara vario mor quiser conversar dps ouvir,1
,,,1
cara baixa candy crush challenge light,car baix candy crush challeng light,Cara baixo candy Crush challengir light,1
casal lindo desses bicho,casal lind dess bich,casal lir de esse bicho,1
queria sair hora tbm ai ficaria facil sair h ficar mongando shopping acho vou acabar saindo pouquinho,quer sair hor tbm ai fic facil sair h fic mong shopping acho vou acab saind pouquinh,querer sair hora tbm ai ficar facil sair h ficar mongar shopping achar ir acabar sair pouquinho,0
sdds,sdds,sdds,0
,,,0
ando distante machucando pessoas importam comigo,ando distant machuc pesso import comig,ar distante machucar pessoa importar comigo,0
hehehe vou procurar entao p,heheh vou procur enta p,hehehe ir procurar entao p,1
ok lembrese vota haddad vota bolsonaro,ok lembres vot haddad vot bolsonar,ok lembrese voto haddad vota bolsonaro,1
queria pra,quer pra,querer pra,0
outubro fico doente,outubr fic doent,outubro fico doente,0
ah mao entao,ah mao enta,ah Mao entao,0
dormir min dormirrrr,dorm min dormirrrr,dormir Min dormirrrr,0
vi linda hj to mt apaixonada,vi lind hj to mt apaixon,ver lindo hj to mt apaixonar,0
dia bizarro porra triste brasil dilma certa independente resultado ninguem ganhar perder ja perdemos nacao hoje,dia bizarr porr trist brasil dilm cert independent result ningu ganh perd ja perd naca hoj,dia bizarro porrar tristir Brasil dilmar certo independente resultado ninguem ganhar perder ja perder nacao hoje,0
nao precisa nao anjinho,nao precis nao anjinh,nao precisar nao anjinho,1
lembro escutei linger vou esquecer machucou nao oportunidade show,lembr escut ling vou esquec machuc nao oportun show,lembro escutei linger ir esquecer machucar nao oportunidade show,0
livro,livr,livro,0
queria descobrir pessoa anonimo serio,quer descobr pesso anonim seri,querer descobrir pessoa anonimo serio,0
comunidade reflexo reflexo trabalho,comun reflex reflex trabalh,comunidade reflexo reflexo trabalho,1
dados pq nao passe net,dad pq nao pass net,dar pq nao passar net,1
deputada federal apoiava nao ganhou aaa,deput federal apoi nao ganh aaa,deputada federal apoiar nao ganhar aaa,0
to extremamente triste to quase chorando medo sala eh pura ignorancia empatia,to extrem trist to quas chor med sal eh pur ignoranc empat,to extremamente triste to quase chorar medo sala eh puro ignorancia empatir,0
foda candidato ciro ciro projetos plano governo perfeitos pra situacao atual pais continuar apoiando torcer pra futuro eleito principal enfim foco juntar votos pro haddad,fod candidat cir cir projet plan govern perfeit pra situaca atual pais continu apoi torc pra futur eleit principal enfim foc junt vot pro haddad,foda candidato ciro ciro projeto plano governo perfeito pra situacao atual pais continuar apoiar torcer pra futuro eleger principal enfim foco juntar voto pro haddad,1
vontade desistir,vontad desist,vontade desistir,0
tomar cu pedi d,tom cu ped d,tomar cu pedir d,1
nao assinatura pinto costa basta google q sao completamente diferentes quase q arriscaria letra mulher,nao assinatur pint cost bast googl q sao complet diferent quas q arrisc letr mulh,nao assinatura Pinto Costa bastar google q sao completamente diferente quase q arriscar letra mulher,1
,,,0
fiquei triste vc sinceramente la taparam user,fiqu trist vc sincer la tap user,fiquei tristir vc sinceramente la tapar user,0
arruma casa pomar pra cachorrada,arrum cas pom pra cachorr,arrumar casa pomar pra cachorrada,1
bar afccaebf,bar afccaebf,bar afccaebf,0
gl bois,gl bois,gl bois,1
la vou castigo,la vou castig,la ir castigo,1
nao acredito manu elesim paixao acabou,nao acredit manu elesim paixa acab,nao acreditar manu elesim paixao acabar,0
ai mona espero q vc melhor,ai mon esper q vc melhor,ai mona esperar q vc bom,0
sorteio top jogo esperado totalmente gratuita pra participar segue link post abaixo sorte,sortei top jog esper total gratuit pra particip seg link post abaix sort,sorteio top jogo esperar totalmente gratuito pra participar segue link post abaixo sorte,1
ajshsjshshs u tou sentir saudades tho,ajshsjshshs u tou sent saudad tho,ajshsjshshs u tou sentir saudade tho,1
ah nordeste vota ne p,ah nord vot ne p,ah nordeste vota ne p,1
comecei chorar telefone pra mae medo real ficou tao preocupada tadinha,comec chor telefon pra mae med real fic tao preocup tadinh,começar chorar telefone pra mae Medo real ficar taoer preocupado tadinha,0
sonhei voce acordei querendo matar,sonh voc acord quer mat,sonhei voce acordar querer matar,1
so acho ninguem ficar brigando desfazendo amizade conta politica pessoas levam serio,so acho ningu fic brig desfaz amizad cont polit pesso lev seri,so acho ninguem ficar brigar desfazer amizade contar politico pessoa levar serio,0
suco laranja p,suc laranj p,suco laranja p,1
so nao,so nao,so nao,0
ta,ta,ta,0
queria calcinha lacinho nao ia amarrar bonito,quer calcinh lacinh nao ia amarr bonit,querer calcinho lacinho nao ir amarrar bonito,0
bar eabfbeafafa,bar eabfbeafaf,bar eabfbeafafar,0
picadinho regional noitescura,picadinh regional noitescur,picadinho regional em oitescure,1
to tbm nao queria anos pt fato analisar oq pt brasil oq proprio haddad ja politico oq bolsonaro,to tbm nao quer anos pt fat analis oq pt brasil oq propri haddad ja polit oq bolsonar,to tbm nao querer ano pt fato analisar oq pt Brasil oq proprio haddad ja politico oq bolsonaro,1
vamo pensar mozao tocar maraca ddddd,vam pens moza toc marac ddddd,vamo pensar mozao tocar maraca ddddd,1
acordei,acord,acordar,0
fico feliz ame,fic feliz ame,fico feliz ame,1
namorada dormiu deu noite,namor dorm deu noit,namorar dormir dar noite,0
mt linda pena mora mt aiiiii obrigadaaa,mt lind pen mor mt aiiiii obrigadaa,mt linda pena mor mt aiiiii obrigadaaa,0
so sofia pra melhorar dia,so sof pra melhor dia,so sofia pra melhorar dia,1
ficar amor,fic amor,ficar amor,0
amor buscar faculdade hoje voltar sozinha pra casa maldade coracao,amor busc faculdad hoj volt sozinh pra cas maldad coraca,amor buscar faculdade hoje voltar sozinha pra casa maldade coracao,0
vc nao imagina vou,vc nao imagin vou,vc nao imaginar ir,1
nao atingi queria,nao ating quer,nao atingi querer,0
gente role kkkkk repito roupa infelismente nao comprar look pra fervo,gent rol kkkkk repit roup infelis nao compr look pra ferv,gente role kkkkk repito roupa infelismente nao comprar look pra fervo,0
maldita poluicao sp,maldit poluica sp,malditar poluicao sp,0
hey mama,hey mam,hey Mama,1
algum disse nao presuncosa pensar opiniao mesma deus pedindo faca pensa melhor nacao ja contas estaremos sujeitos resultado,algum diss nao presunc pens opinia mesm deus ped fac pens melhor naca ja cont estar sujeit result,algum dizer nao presuncoso pensar opiniao mesmo deu pedir faca pensar bom nacao ja conta estarer sujeito resultado,1
participo inktober decidi nanquim permitir nao acabar p inktoberday inktoberday,particip inktob decid nanquim permit nao acab p inktoberday inktoberday,participo inktober decidir nanquim permitir nao acabar p inktoberday inktoberday,1
so queria melhor amigo mundo,so quer melhor amig mund,so querer bom amigo mundo,1
habito tao bommm sinto super livre andando descalca amo nao gosto andar descalca,habit tao bommm sint sup livr andand descalc amo nao gost andar descalc,habito tao bommm sinto super livre andar descalcar amo nao gostar andar descalcar,0
segundadetremurasdv vou considerar ultima q escrevi opa vc n leu segue ae ve entao,segundadetremurasdv vou consider ultim q escrev opa vc n leu seg ae ve enta,Segundadetremurasdv ir considerar ultimo q escrevi opa vc n ler seguir ae ve entao,1
sdds piercing kkk,sdds piercing kkk,sdds piercing kkk,0
tadinho maico,tadinh maic,tadinho maico,0
n to acreditando q ta acontecendo,n to acredit q ta acontec,n to acreditar q ta acontecer,0
criatividade invejo,criativ invej,criatividade invejo,1
achar alguem vendendo ingresso vou campinas tambem uberlandia queria graca acho nao consigo,achar algu vend ingress vou campin tamb uberland quer grac acho nao consig,achar alguir vender ingresso var campina tambem uberlander querer graca achar nao consigo,0
voce desenharia felicidade desenhei namorado ficou lindissimo d,voc desenh felic desenh namor fic lindissim d,voce desenhario felicidade desenhei namorar ficar lindissimo d,1
mutual garota nao seguir volta,mutual garot nao segu volt,mutual garotar nao seguir voltar,0
coracao joao pessoa ja lar definitivo sera verdade,coraca joa pesso ja lar definit ser verdad,coracao joao Pessoa ja lar definitivo serar verdade,1
amanha nao mexo,amanh nao mex,amanho nao mexo,1
ownti anjinho ltlt stou c saudads cariri,ownti anjinh ltlt stou c saudads carir,ownti anjinho ltlt star c saudads cariri,0
i liked video cliente ti precisa dica magica descobrir,i liked vid client ti precis dic magic descobr,i liked video cliente ti precisar dica magico descobrir,1
daki poko apresentacao trabalho,dak pok apresentaca trabalh,daki poko apresentacao trabalho,0
queria empregadinho pra uva boca,quer empregadinh pra uva boc,querer empregadinho pra uva bocar,0
nao to fome sono,nao to fom son,nao to fome sono,0
nao queria tomado cafe pai acordou so pra pra mim tadinho tomei sono ta indo,nao quer tom caf pai acord so pra pra mim tadinh tom son ta indo,nao querer tomar cafe pai acordar so pra pra eu tadinho tomeir sono ta ir,0
rir mim fiz merda to sofrendo,rir mim fiz merd to sofr,rir eu fiz merda to sofrer,1
plugins ate manjo d,plugins ate manj d,plugim ate manjo d,1
apareceu fotos suposta tatuagem,aparec fot supost tatuag,aparecer foto suposto tatuagem,1
update tambem nao aula hora,updat tamb nao aul hor,update tambem nao aula hora,1
nasendan ko kskskskks,nasendan ko kskskskks,nasendan Ko kskskskks,1
hora trabalhar concursos in sao paulo,hor trabalh concurs in sao paul,hora trabalhar concurso in sao Paulo,1
sigo nao bloqueias,sig nao bloqu,sigo nao bloqueia,1
tomara pra limpar tudinho cachorros cara deu,tom pra limp tudinh cachorr car deu,tomar pra limpar tudinho cachorro cara dar,1
vi,vi,ver,0
fofo,fof,fofo,1
notebook dando problema d,notebook dand problem d,notebook dar problema d,1
nao nao vou encher saco mensalidade cara pobre,nao nao vou encher sac mensal car pobr,nao nao ir encher saco mensalidade car pobre,0
poxa agr c ta namorando pessoa partiu coracao culpa omg eh mentira volta,pox agr c ta namor pesso part coraca culp omg eh ment volt,poxar agr c ta namorar pessoa partir coracao culpa omg eh mentira volto,0
podemos,pod,poder,1
vc,vc,vc,1
arquivo zipado mega contabiliza filme so arquivo serie torrent nao problema so links achei quebrados enfim forcaamppaciencia,arquiv zip meg contabiliz film so arquiv seri torrent nao problem so links ache quebr enfim forcaamppacienc,arquivo zipar mega contabiliza filme so arquivo serie Torrent nao problema so link achar quebrado enfim forcaamppaciencia,0
nao vir centrosul atras emprego tambem ne,nao vir centrosul atras empreg tamb ne,nao vir centrosul atra emprego tambem ne,1
queria excluir amigas insta conteudo chato irrita fizer eh guerra mundial,quer exclu amig insta conteud chat irrit fiz eh guerr mundial,querer excluir amiga insta conteudo chato irritar fizer eh guerra mundial,1
mae fala nao gosta pessoas disse nao gostava ti nao entenderiam tao facilmente medo algum descobrir,mae fal nao gost pesso diss nao gost ti nao entend tao facil med algum descobr,mae falar nao gostar pessoa dizer nao gostar ti nao entender tao facilmente medo algum descobrir,1
quede males votar haddadse pra continuar ta nao correr risco clt atual mudar n armas mao n nao intervencoes questao privatizacaoe melhor,qued mal vot haddads pra continu ta nao corr risc clt atual mud n armas mao n nao intervenco questa privatizacao melhor,quede mal votar haddadse pra continuar ta nao correr risco clt atual mudar n arma mao n nao intervencoes questao pe rivatizacaoe bom,1
vou mota escola ehehehe,vou mot escol eheheh,vou mota escola ehehehe,1
simples querida aceita vaza pais,simpl quer aceit vaz pais,simples querida aceitar vaza pai,1
serio gaga ja conseguiu carreira fiquei tao emocionado aaaa amo mt mulher,seri gag ja consegu carreir fiqu tao emocion aaaa amo mt mulh,serio gaga ja conseguir carreira fiquei tao emocionar aaao amo mt mulher,0
foda vida pobre,fod vid pobr,foda vida pobre,0
mt voltar pro brasil,mt volt pro brasil,mt voltar pro Brasil,0
ja colocaram anticheat,ja coloc anticheat,ja colocar anticheat,1
ninguem fala comigo,ningu fal comig,ninguem falar comigo,0
voce amo,voc amo,voce amo,0
ai dorinha barra zuada eleicoes tao bizarras,ai dorinh barr zuad eleico tao bizarr,ai dorinha barra zuar eleicoe taoer bizarra,0
nao votem nulo gente vidas estao jogo precisamos votos pra vencer coiso,nao vot nul gent vid esta jog precis vot pra venc cois,nao votar nulo gente Vidas estao jogo precisar voto pra vencer coiso,0
ai mano vmin amizade tao nhonho vontade proteger deus ja mim,ai man vmin amizad tao nhonh vontad proteg deus ja mim,ai mano vmin amizade tao nhonho vontade proteger Deus ja eu,0
bolsonaro ganhar nego querendo brincar fortnite porem nao lobby rs,bolsonar ganh neg quer brinc fortnit por nao lobby rs,bolsonaro ganhar nego querer brincar fortnite por nao lobby rs,0
,,,1
dilma pega fuzil toma palacio pfvorzin,dilm peg fuzil tom palaci pfvorzin,dilma pega fuzil tomar palacio pfvorzin,0
tristeza,tristez,tristeza,0
poxa,pox,poxar,0
descobri caras so sri lanka comem vi comese neide rigo acho faca pra provar d,descobr car so sri lank com vi comes neid rig acho fac pra prov d,descobrir caro so sri lanka comer ver comese neide riger achar facar pra provar d,1
sono,son,sono,0
cestitam,cestit,cestitar,1
nao consegue dormir,nao conseg dorm,nao conseguir dormir,0
noite guys d,noit guys d,noite guys d,1
tao discutindo politica n to falando to orgulhosa mim paciencia,tao discut polit n to fal to orgulh mim pacienc,tao discutir politico n to falar to orgulhoso eu pacienciar,1
triste tenta mudar cabeca,trist tent mud cabec,tristir tentar mudar cabeco,0
mt caro,mt car,mt caro,0
nao populacao revolta massa vira,nao populaca revolt mass vir,nao populacao revolta massa viro,1
serio assumiu homofobia cara dura,seri assum homofob car dur,serio assumir homofobia car duro,0
nao migao,nao miga,nao migao,0
queria q vc seguisse volta user amor,quer q vc segu volt user amor,querer q vc seguir volta user amor,0
deu dor bue forte umbigo voces queriamse mexer nao conseguiam mim ja alias tou,deu dor bue fort umbig voc queriams mex nao consegu mim ja ali tou,dar dor bue forte umbigo voce queriamse mexer nao conseguir eu ja alio tar,1
queria relancado cascao porker nao,quer relanc casca pork nao,querer relancar cascao porker nao,0
amam casaram dia setembro importa nao opiniao,amam cas dia setembr import nao opinia,amar casar dia setembro importar nao opiniao,1
acabo zerar belissimo jogo the vagrant live proximo jogo iniciado sera bastion vlw participacao tamo j d,acab zer belissim jog the vagrant liv proxim jog inic ser bastion vlw participaca tam j d,acaber zerar belissimo jogo the vagrant live proximo jogo iniciar serar Bastion vlw participacao tamo j d,1
jikook escovando dentinho n travam ne alg respondekkkkkk,jikook escov dentinh n trav ne alg respondekkkkkk,jikook escovar dentinho n trar ne alg respondekkkkkk,0
difama pra mamae,difam pra mama,difama pra mamae,0
comecar semana voce feito varias coisas semana nao,comec seman voc feit var cois seman nao,comecar semana voce fazer varia coisa semano nao,1
fumar dias tmb n,fum dias tmb n,fumar dia tmb n,1
feliz,feliz,feliz,1
caso ai foda mucosa inapto,cas ai fod mucos inapt,caso ai foda mucoso inapto,0
complicacoes cirurgia,complicaco cirurg,complicacoe cirurgiar,1
fofo pena so trata,fof pen so trat,fofo pena so tratar,0
renuncie taaarado eeee,renunc taaar eeee,renuncie taaarar eeee,1
mostra amor forte odio,mostr amor fort odi,mostrar amor forte odio,1
apesar q disse q olha bolsonaro populista oportunista q desejam ouvirmas n fara fato espero certa d,apes q diss q olha bolsonar popul oportun q desej ouvirm n far fat esper cert d,apesar q dizer q olhar bolsonaro populista oportunista q desejar ouvirma n fara fato esperar certo d,1
vcs nao sabem fico triste pq queria acompanhar vcs melhor culpo pessima shawol desculpem meninos prometo vou melhorar amo vcs,vcs nao sab fic trist pq quer acompanh vcs melhor culp pessim shawol desculp menin promet vou melhor amo vcs,vcs nao saber fico tristir pq querer acompanhar vcs bom culpo pessimo shawol desculper menino prometo ir melhorar amo vcs,0
n desiste mim nao interior coracao,n des mim nao interior coraca,n desistir mim nao interior coracao,0
norte porto opcao pior pareceme,nort port opca pior parecem,norte Porto opcao pior pareceme,1
sdd dms tb,sdd dms tb,sdd dms tb,0
ok,ok,ok,1
ah ent guri kufner quase derrubou fantasia importancia vida euteamo realmente n oq fiz tao vida pra guri alem especialmt lindo tb,ah ent gur kufn quas derrub fantas importanc vid euteam realment n oq fiz tao vid pra gur alem especialmt lind tb,ah ent guri kufner quase derrubar fantasia importancia vido euteamo realmente n oq fiz tao vida pra guri aler especialmt lir tb,1
vdd politica passa mamadores bolsa familia fica marcado p,vdd polit pass mamador bols famil fic marc p,vdd politico passar Mamadores Bolsa familiar ficar marcar p,1
perdoa ovineo nao quis machucar,perdo ovin nao quis machuc,perdoar ovineo nao querer machucar,0
amo vcs,amo vcs,amo vcs,0
joguei dotinha,jogu dotinh,joguei dotinho,0
noite ruim passei sozinho pessoas comigo largaram la jogado chao pessoas conhecia ajudaram entrar uber cuidado vcs andam gente ninguem liga,noit ruim pass sozinh pesso comig larg la jog cha pesso conhec ajud entrar uber cuid vcs andam gent ningu lig,noite ruim passar sozinho pessoa comigo largar la jogar chao pessoa conhecer ajudar entrar uber cuidado vcs andar gente ninguem liga,1
dolar caiu r,dol caiu r,dolar cair r,1
cidades bahia bolsonaro ganhou haddad so observacao,cidad bah bolsonar ganh haddad so observaca,cidade bahia bolsonaro ganhar haddad so observacao,1
ana d,ana d,ano d,1
grazas anxos rial levar berenice sala lectura palabra bruxa andrea barreira freije unha palabras palabradebruxa,graz anxos rial lev berenic sal lectur palabr brux andre barreir freij unha palabr palabradebrux,graza anxo rial levar berenice sala lecturo palabro bruxa andreo barreira freije unha palabro palabradebruxa,1
entrevista emprego expectativa af entrevista so vou falar bosta nao vou conseguir emprego realidade gostamos perfil feira vamos ligar pra vc pra teste dias nao remunerados fodaaaaaaaaaaaaaaa,entrev empreg expect af entrev so vou fal bost nao vou consegu empreg realidad gost perfil feir vam lig pra vc pra test dias nao remuner fodaaaaaaaaaaaaaa,entrevista emprego expectativo af entrevista so ir falar bosta nao ir conseguir emprego realidade gostamo perfil feira ir ligar pra vc pra teste dia nao remunerado fodaaaaaaaaaaaaaaa,1
k aprox los k,k aprox los k,k aprox los k,1
amg sulista foda,amg sulist fod,amg sulista fodo,0
preciso,precis,preciso,0
queria mandar recado pra tia mara nordestina paraiba votou bolsonazi tia mara nordeste nao elege fascista passar,quer mand rec pra tia mar nordestin paraib vot bolsonaz tia mar nord nao eleg fascist pass,querer mandar recar pra tia mar nordestina paraiba votar bolsonazi tia mar nordeste nao elege fascista passar,1
ps voce escolhe espero ajude,ps voc escolh esper ajud,ps voce escolhe esperar ajude,1
elaine consta entrega produto ja realizada tentando contato voce via telefone numero acesso nao tendo exito voce outro numero contato aguardamos resposta,elain const entreg produt ja realiz tent contat voc via telefon numer acess nao tend exit voc outr numer contat aguard respost,elaine constar entregar produto ja realizar tentar contato voce ver telefone numero acesso nao ter exitar voce outro numero contato aguardar resposta,1
bea tiroume fotos tao giras hoje campanha cartao memoria apagou,bea tiroum fot tao gir hoj campanh carta memor apag,bem tiroume foto taoer gira hoje campanha Cartao memoria apagar,0
dificil kkkk,dificil kkkk,dificil Kkkk,0
saudades grupinho disbandado,saudad grupinh disband,saudade grupinho disbandar,0
ai termino prova nao mensagem amorzao,ai termin prov nao mensag amorza,ai Termino Prova nao mensagem amorzao,0
diaaaa,diaaa,diaaaa,1
,,,1
pessoa q,pesso q,pessoa q,0
tentando juro vc,tent jur vc,tentar juro vc,0
explicando contexto retirada tinta repolho roxo picado colocado bacia agua d,explic context retir tint repolh rox pic coloc bac agu d,explicar contexto retirar tinta repolho roxo picar colocar bacia aguo d,1
aahhhhhh grados asamos sunny d,aahhhhhh grad asam sunny d,aahhhhhh grar asar sunny d,1
melhores filmes comedia ja vi naked netflix,melhor film comed ja vi naked netflix,bom filme comedir ja ver naked netflix,1
ja gastei,ja gast,ja gastei,1
noite fifa trouxe muitas alegrias hoje honra jogar caras admiro ramo free to play fifa points cheguei elite ganhei monstro game carisma tmj resto wl,noit fif troux muit alegr hoj honr jog car admir ram fre to play fif points chegu elit ganh monstr gam carism tmj rest wl,noite fifa trazer muito alegria hoje honrar jogar cara admiro ramo Free to play Fifa points cheguei elite ganhei monstro Game carisma tmj resto wl,1
vou acusar golpe gt pra pessoa morrer causa preconceito brasil pessoa aleatoria maaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,vou acus golp gt pra pesso morr caus preconceit brasil pesso aleator maaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ir acusar golpe gt pra pessoa morrer causa preconceito Brasil pessoa aleator Maaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1
queria carinho barriga,quer carinh barrig,querer carinho barriga,0
bar bfabecbf,bar bfabecbf,bar bfabecbf,0
tambem amo muitaoooo,tamb amo muitaooo,tambem amo muitaoooo,0
burgues safado achei furada ninguem ouvia,burgu saf ache fur ningu ouv,burgue safar achar furar ninguem ouver,0
pra turno meme ciroca,pra turn mem ciroc,pra turno memer ciroco,0
vc anda tao ocupada chique,vc anda tao ocup chiqu,vc andar tao ocupar chique,1
cabelo chaeyeon socorro ta linda,cabel chaeyeon socorr ta lind,cabelo chaeyeon socorro ta linda,0
ola caros eleitores brasileiros nao pensem umbigo hora decidir candidato deg turno existem muitas pessoas alem voce merecem respeito igualdade noite,ola car eleitor brasileir nao pens umbig hor decid candidat deg turn exist muit pesso alem voc merec respeit igualdad noit,ola caro eleitor brasileiro nao pensem umbigo hora decidir candidato deg turno existir muito pessoa aler voce merecer respeito igualdade noite,1
familia,famil,familiar,1
,,,0
cansei reagir pedradas flores eh pedra tbm p,cans reag pedr flor eh pedr tbm p,cansei reagir pedrada flor eh pedra tbm p,1
to acordada manha pilha porra nao consigo dormir,to acord manh pilh porr nao consig dorm,to acordar manho pilho porra nao consigo dormir,0
acho coimbra cidade linda fantastico terte,acho coimbr cidad lind fantast tert,achar coimbra cidade lindo fantastico terte,1
to chegando pra iluminar chego vv,to cheg pra ilumin cheg vv,to chegar pra iluminar chego vv,1
nao torco nao pra,nao torc nao pra,nao torco nao pra,0
namjoon tao puro amo namjoonamacaranguejinho,namjoon tao pur amo namjoonamacaranguejinh,namjoon tao puro amo namjoonamacaranguejinho,0
alive hdshshshs my mom,aliv hdshshshs my mom,aliver hdshshsh my mom,0
vc deixa respeitar alguem nao aceitar diferenca,vc deix respeit algu nao aceit diferenc,vc deixar respeitar alguir nao aceitar diferenca,1
gente fiquei exatamente,gent fiqu exat,gente fiquei exatamente,0
so queria pra portugal,so quer pra portugal,so querer pra Portugal,0
gostei video morando sozinha amo mae diabos,gost vid mor sozinh amo mae diab,gostar video morar sozinha amo mae diabo,0
