clean_text,stemmed_text_complete,lemmatized_text_complete,is_hate_speech
levantese cabelo branco honre homem idoso temor deus jeova lv,levantes cabel branc honr hom idos temor deus jeov lv,levantese cabelo branco honre homem idoso temor de eus jeova Lv,0
arrisquei cantar cancao tributo demis rousso emocionada fiquei receio branco hora,arrisqu cant canca tribut dem rouss emocion fiqu recei branc hor,arrisquei cantar cancao tributo demis rousso emocionar fiquei receio branco hora,0
gata oculos vestido branco floriado passou predio rosa indo biblioteca,gat ocul vest branc flori pass predi ros indo bibliotec,gatar oculo vestir branco floriar passar predio roso ir biblioteca,0
branco,branc,branco,0
presidente sinal excepcional vide temer collor lula sarney castelo branco jango getulio,president sinal excepcional vid tem collor lul sarney castel branc jang getuli,presidente sinal excepcional vide temer Collor Lula sarney castelo branco jango getulio,0
vsf mano fico perplexo desgraca apoiar coisas tao absurdas dia negro falando salvou negro branco,vsf man fic perplex desgrac apoi cois tao absurd dia negr fal salv negr branc,vsf mano fico perplexo desgracar apoiar coisa tao absurr dia negro falar salvar negro branco,0
dependendo funcionar hj noite ja to pato branco,depend funcion hj noit ja to pat branc,depender funcionar hj noite ja to pato branco,0
lindo cabide branco coracao apliques perolas noivinha elisangela,lind cabid branc coraca apliqu perol noivinh elisangel,lir cabidir branco coracao aplique perola noivinha elisangela,0
trailer ne,trail ne,trailer ne,0
ruim chileno branco dias fica preto,ruim chilen branc dias fic pret,ruim chileno branco dia ficar preto,1
dia pagina branco vida escreva vale pena dia,dia pagin branc vid escrev val pen dia,dia pagino branco vida escrever valer pena dia,0
preto branco tao show contar q pintar ruim desgosto,pret branc tao show cont q pint ruim desgost,preto branco tao show contar q pintar ruim desgostar,0
ate gente rio branco perseguido,ate gent rio branc persegu,ate gente rio branco perseguir,0
marcelo rio branco salvaria politica externa governo golpista via,marcel rio branc salv polit extern govern golpist via,Marcelo Rio branco salvario politico externo governo golpistar ver,0
lavar tenis branco,lav ten branc,lavar tenis branco,0
brigadeiro branco uva ingredientes latas leite condensado lata creme leite pita,brigadeir branc uva ingredient lat leit condens lat crem leit pit,brigadeiro branco uva ingrediente lata leite condensado lato creme leite pito,0
nao aceitamos fazdeconta hipocrisia lutamos censura marxismocultural,nao aceit fazdecont hipocris lut censur marxismocultural,nao aceitamos fazdeconta hipocrisio lutamo censura marxismocultural,0
sapatao nao deveria sentir colica menstruar,sapata nao dev sent colic menstru,sapatao nao dever sentir colico menstruar,1
sapatao trovando igual homem,sapata trov igual hom,sapatao trovar igual homem,1
acordei sapatao hj,acord sapata hj,acordar sapatao hj,1
sai sapatao incubada,sai sapata incub,sair sapatao incubar,1
rt sai sapatao incubada,rt sai sapata incub,rt sair sapatao incubar,1
burra mulher iludida achando larga fiel puta,burr mulh ilud achand larg fiel put,burrar mulher iludir achar larga fiel putar,1
rt voce nao prima sapatao prima sapatao voce,rt voc nao prim sapata prim sapata voc,rt voce nao primo sapatao primo sapatao voce,1
rt queria dedicar tweet sapatonice vida sapatao bjs,rt quer dedic tweet sapatonic vid sapata bjs,rt querer dedicar tweet sapatonice vida sapatao bjs,1
deus la proprio vale sapatao,deus la propri val sapata,de eus la proprio valer sapatao,1
dia pras sapatao,dia pras sapata,dia pro sapatao,1
sapatao sapatao shauishaius,sapata sapata shauishaius,sapatao sapatao shauishaius,1
rt vcs grupos amigos bons nenhum sapatao,rt vcs grup amig bons nenhum sapata,rt vcs grupo amigo bom nenhum sapatao,1
forro ouvi homem nao chamar mulher pra dancar agarradinho boiola mulher nao aceitar sapatao,forr ouv hom nao cham mulh pra danc agarradinh boiol mulh nao aceit sapata,forro ouvir homem nao chamar mulher pra dancar agarradinho boiola mulher nao aceitar sapatao,1
to inconformada chorando pude tao burra pensei solange avioes mulher xand nao vou conseguir superar,to inconform chor pud tao burr pens solang avio mulh xand nao vou consegu super,to inconformar chorar pude tao burra pensar solange avioes mulher xand nao ir conseguir superar,0
jhu viado lindo dj luizinho dia sapatao gostoza,jhu viad lind dj luizinh dia sapata gostoz,jhu viar lir dj luizinho dia sapatao gostoza,1
rt jhu viado lindo dj luizinho dia sapatao gostoza,rt jhu viad lind dj luizinh dia sapata gostoz,rt jhu viar lir dj luizinho dia sapatao gostoza,1
aaaaaa turma homens prof fala cabo sapatao conector femea femea mundo olha pra mim,aaaaaa turm homens prof fal cab sapata conector fem fem mund olha pra mim,aaaaaa turma homem prof falar cabo sapatao conector femea femea mundo olhar pra eu,1
gnt n sapatao viado q chama kkk,gnt n sapata viad q cham kkk,Gnt n sapatao viar q chamar kkk,1
dificil pra mina burra insegura conquistou conviver mulher bonita inteligente independente ne pena,dificil pra min burr insegur conquist conviv mulh bonit inteligent independent ne pen,dificil pra mina burrar insegura conquistar conviver mulher bonito inteligente independente ne pena,1
rt gnt n sapatao viado q chama kkk,rt gnt n sapata viad q cham kkk,rt Gnt n sapatao viar q chamar kkk,1
nao sapatao nao errei traveco mo pirocao,nao sapata nao erre travec mo piroca,nao sapatao nao err traveco mo pirocao,1
sapatao machista uo pqp tratar mana,sapata machist uo pqp trat man,sapatao machista uo pqp tratar mana,1
rt nao sapatao nao errei traveco mo pirocao,rt nao sapata nao erre travec mo piroca,rt nao sapatao nao err traveco mo pirocao,1
dossie sapatao revolucao existencias resistencias lesbianidades encruzilhadas subalternas ate,dossi sapata revoluca existenc resistenc lesbian encruzilh subaltern ate,dossier sapatao revolucao existencio resistencio lesbianidade encruzilhar subalterno ate,0
video sapatao tocando siririca,vid sapata toc sirir,video sapatao tocar siririco,1
mulher burra raiva,mulh burr raiv,mulher burra raiva,1
lutei ai raspou cabeca ta mto sapatao ta acabando cmg,lut ai rasp cabec ta mto sapata ta acab cmg,lutar ai raspar cabeca ta mto sapatao ta acabar cmg,1
sapatao,sapata,sapatao,1
rt mundo sapatao viagem mundo pega mundo credo ycyfugug,rt mund sapata viag mund peg mund cred ycyfugug,rt mundo sapatao viagem mundo pegar mundo credo ycyfugug,1
amigosja passamos inscritos horas inscrevase canal entrevistas vamos,amigosj pass inscrit hor inscrevas canal entrev vam,amigosja passar inscrito hora inscrevase canal entrevisto ir,0
glee cantaram run the world babei heather morris nitidamente nao sabia sapatao gente tombei,gle cant run the world bab heath morr nitid nao sab sapata gent tomb,Glee cantar run the World babei heather Morris nitidamente nao saber sapatao gente tombei,1
isabel eh sapatao banheiro falei sai correndo,isabel eh sapata banheir fal sai corr,isabel eh sapatao banheiro falei sair correr,1
valido saudar sapatao,val saud sapata,valir saudar sapatao,1
dia internacional mulher pk preparou encontro cheio significado aprendizado trocas,dia internacional mulh pk prepar encontr chei signific aprendiz troc,dia internacional mulher pk preparar encontro cheio significado aprendizar troco,0
verdade gatinho sapatao prestar atencao hahahah,verdad gatinh sapata prest atenca hahahah,verdade gatinho sapatao prestar atencao hahahah,1
rt dificil pra mina burra insegura conquistou conviver mulher bonita inteligente independente,rt dificil pra min burr insegur conquist conviv mulh bonit inteligent independent,rt dificil pra mina burrar insegura conquistar conviver mulher bonito inteligente independente,0
nao anavitoria morena nao sapatao gente,nao anavitor moren nao sapata gent,nao anavitor moreno nao sapatao gente,1
rt dossie sapatao revolucao existencias resistencias lesbianidades encruzilhadas subalternas ate,rt dossi sapata revoluca existenc resistenc lesbian encruzilh subaltern ate,rt dossie sapatao revolucao existencio resistencio lesbianidade encruzilhar subalterno ate,1
rt h naily cschacadaaa h naily varias sapatao,rt h naily cschacadaa h naily var sapata,rt h naily cschacadaaa h naily vario sapatao,1
nao so chama sapatao,nao so cham sapata,nao so chamar sapatao,1
oi sapatao kkkkkkkkkkkkkkkkkk,oi sapata kkkkkkkkkkkkkkkkkk,oi sapatao kkkkkkkkkkkkkkkkkk,1
rt mulher tao proxima vida nascer mulher vou sapatao pensar,rt mulh tao proxim vid nasc mulh vou sapata pens,rt mulher tao proximo vida nascer mulher ir sapatao pensar,1
nao gosta comparar precos mercado sapatao,nao gost compar prec merc sapata,nao gostar comparar preco mercado sapatao,1
rt gabriella nao pq gabriella sapatao puxa fole fi rapariga,rt gabriell nao pq gabriell sapata pux fol fi raparig,rt gabriella nao pq gabriella sapatao puxa fole fi raparigar,1
rt hojeeugostariade resumindo,rt hojeeugostariad resum,rt hojeeugostariade resumir,0
vim trabalhar camiseta namorada hoje to sentindo sapatao,vim trabalh camiset namor hoj to sent sapata,vir trabalhar camiseta namorar hoje to sentir sapatao,1
sapatao q ne sonho bjar callie arizona ja realizalo,sapata q ne sonh bjar calli arizon ja realizal,sapatao q ne sonho bjar callie arizonar ja realizalo,1
acho q menina restaurante frente sapatao kkkkkk fica olhando,acho q menin restaur frent sapata kkkkkk fic olhand,achar q menina restaurante frente sapatao kkkkkk ficar olhar,1
dia sapatao vida,dia sapata vid,dia sapatao vida,1
kkkkk foto ficou mt sapatao,kkkkk fot fic mt sapata,kkkkk foto ficar mt sapatao,1
rt oi sapatao kkkkkkkkkkkkkkkkkk,rt oi sapata kkkkkkkkkkkkkkkkkk,rt oi sapatao kkkkkkkkkkkkkkkkkk,1
sapatao so pros intimos pra voce senhora dona lesbica,sapata so pros intim pra voc senhor don lesbic,sapatao so pro inti pra voce senhor donar lesbico,1
mulher eh maravilhosa vei amo sapatao,mulh eh maravilh vei amo sapata,mulher eh maravilhosa vei amo sapatao,1
sapatao bonita sp ate vontade ficar,sapata bonit sp ate vontad fic,sapatao bonito sp ate vontade ficar,1
kkkkkkkk prima sapatao abusada cacete,kkkkkkkk prim sapata abus cacet,kkkkkkkk primo sapatao abusar cacete,1
escutando musicas sapatao,escut music sapata,escutar musico sapatao,1
confirmado falei sapatao,confirm fal sapata,confirmar falar sapatao,1
rt voce gaysapatao ue nao ta chamando hetero m,rt voc gaysapata ue nao ta cham heter m,rt voce gaysapatao ue nao ta chamar hetero m,1
deveriam decaptar ja qdo chama militancia sapatao grelo duro deveria beatificado,dev decapt ja qdo cham militanc sapata grel dur dev beatific,dever decaptar ja qdo chamar militancia sapatao grelo duro dever beatificado,1
sapatao fala aaaaaaaaaa alegria aleluia kkkkkkkk,sapata fal aaaaaaaaaa alegr alelu kkkkkkkk,sapatao falar Aaaaaaaaaa alegrio aleluia kkkkkkkk,1
vida sapatao amar amiguinha hetero nao voce apaixonada,vid sapata amar amiguinh heter nao voc apaixon,vida sapatao amar amiguinha hetero nao voce apaixonar,1
hoje to so rihanna sapatao,hoj to so rihann sapata,hoje to so rihanna sapatao,1
sapatao super indico,sapata sup indic,sapatao super indico,1
descobri q sapatao,descobr q sapata,descobrir q sapatao,1
to esperando sapatao,to esper sapata,to esperar sapatao,1
putaque patou caralho buceta cu rola xereca homem nu mulher bitando mao xereca oitra mulher nua put,putaqu pat caralh bucet cu rol xerec hom nu mulh bit mao xerec oitr mulh nua put,putaque patar Caralho buceta cu rolar xereca homem nu mulher bitar mao xereca oitrar mulher nu put,0
oi vc sapatao so n,oi vc sapata so n,oi vc sapatao so n,1
sapatao seguindo aly,sapata segu aly,sapatao seguir aly,1
chamaram gattaz sapatao arena jeuanuaneuaheuhasesse glinhas viado minas hum vamos militar,cham gattaz sapata aren jeuanuaneuaheuhas glinh viad min hum vam milit,chamar gattaz sapatao arena jeuanuaneuaheuhaser glinha viar mino hum ir militar,1
deus paola curitu tweet falando sapatao ibdico co pasaa,deus paol curitu tweet fal sapata ibdic co pasa,Deus paolar Curitu tweet falar sapatao ibdico co pasaa,1
rt cara sapatao coracao mocinha,rt car sapata coraca mocinh,rt cara sapatao coracao mocinhar,1
tao sapatao nao oq pauuuuu,tao sapata nao oq pauuuuu,tao sapatao nao oq pauuuuu,1
rt tao sapatao nao oq pauuuuu,rt tao sapata nao oq pauuuuu,rt tao sapatao nao oq pauuuuu,1
surpreendida cara sapatao camilinha,surpreend car sapata camilinh,surpreender cara sapatao camilinhar,1
eh sapatao eh larissa joga ideia q encanta,eh sapata eh lariss jog ide q encant,eh sapatao eh larisso jogo ideia q encantar,1
seguir tt facil apresentar amigas sapatao ngm kkkkkk,segu tt facil apresent amig sapata ngm kkkkkk,seguir tt facil apresentar amiga sapatao ngm kkkkkk,1
dia sapatao,dia sapata,dia sapatao,1
migas curso heterassao casas sao sapatao,mig curs heterassa cas sao sapata,migo curso heterassao casa sao sapatao,1
raiane sapatao fld mh bunda kkkkkkkkk,raian sapata fld mh bund kkkkkkkkk,raiane sapatao fld mh bunda kkkkkkkkk,1
rt td dia msm post ldrv perguntando cade sapatao,rt td dia msm post ldrv pergunt cad sapata,rt td dia msm post ldrv perguntar cade sapatao,1
quis chamar sapatao peguei irma,quis cham sapata pegu irma,querer chamar sapatao peguei irmo,1
pensei q youtuber sapatao,pens q youtub sapata,pensar q youtuber sapatao,1
conheco sapatao racista,conhec sapata racist,conheco sapatao racista,1
amor deus sapatao fala amor vida coracao corpo,amor deus sapata fal amor vid coraca corp,Amor Deus sapatao falar amor vida coracao corpo,1
vira sapatao pedi,vir sapata ped,vira sapatao pedir,1
sapatao q eh pior q homem qdo recebe nao,sapata q eh pior q hom qdo receb nao,sapatao q eh pior q homem qdo receber nao,1
rt nao superei clipe baiana casal sapatao afrocentrado,rt nao sup clip baian casal sapata afrocentr,rt nao superei clipe baiano Casal sapatao afrocentrar,1
questao bahia bancar levir culpi marcelo oliveira osvaldo joel cruz arruzinho sapatao etc,questa bah banc lev culp marcel oliveir osvald joel cruz arruzinh sapata etc,questao bahia bancar levir culpi Marcelo oliveirar osvaldo Joel Cruz arruzinho sapatao etc,0
rt certos problemas sapatao nao precisa preocupar nao tomar acai paz,rt cert problem sapata nao precis preocup nao tom aca paz,rt certos problema sapatao nao precisar preocupar nao tomar acai paz,1
minhadorimporta furos orelha sapatao,minhadorimport fur orelh sapata,minhadorimporta furo orelha sapatao,1
diversao pos trabalho discutir fa karamel ganhar likes sapatao,diversa pos trabalh discut fa karamel ganh lik sapata,diversao pos trabalho discutir fa Karamel ganhar likes sapatao,1
bi nao sapatao ninguem,bi nao sapata ningu,Bi nao sapatao ninguem,1
kd sapatao uniritter,kd sapata uniritt,kd sapatao uniritter,1
mundinho pequeno sapatao ne gente descola fita namoradinha outro,mundinh pequen sapata ne gent descol fit namoradinh outr,mundinho pequeno sapatao ne gente descolar fita namoradinha outro,1
rt junta mt sapatao so n ne,rt junt mt sapata so n ne,rt junta mt sapatao so n ne,1
arrumei exatos min pra trabalhar,arrum exat min pra trabalh,arrumeir exato min pra trabalhar,0
linda colocar soneca desligou despertador inteligente,lind coloc sonec deslig despert inteligent,lindar colocar soneca desligar despertador inteligente,0
joguei futebol fabricio,jogu futebol fabrici,Joguei futebol fabricio,0
so sigo sapatao viado kkkk,so sig sapata viad kkkk,so sigo sapatao viar kkkk,1
chateada q fechamento vc mozao ta saindo moda nao consegui fala pra ninguem,chat q fechament vc moza ta saind mod nao consegu fal pra ningu,chatear q fechamentar vc mozao ta sair moda nao conseguir falar pra ninguem,0
jener gabriela surpresos disse sapatao ata more,jen gabriel surpres diss sapata ata mor,Jener gabriela surpreso dizer sapatao ata more,1
rt amo industria sapatao brasileira,rt amo industr sapata brasileir,rt amo industria sapatao brasileira,1
rt vc roupas complexas vc sapatao falam vc metido nao presta,rt vc roup complex vc sapata fal vc met nao prest,rt vc roupa complexo vc sapatao falar vc metir nao presta,1
triste louca ma,trist louc ma,tristir louco ma,0
sapatao so,sapata so,sapatao so,1
temer lixo humano,tem lix human,temer lixo humano,0
voce duvida hj sair sapatao trevosa hetero mocinha,voc duv hj sair sapata trevos heter mocinh,voce duver hj sair sapatao trevoso hetero mocinhar,1
dps d pensei q so qro sapatao p chamar d camiaozino amor,dps d pens q so qro sapata p cham d camiaozin amor,dps d pensar q so qro sapatao p chamar d camiaozino amor,1
cps jbe rprdob caralho porra sapatao jabuti branco educado rato paraplegico rondoniense doenca oval bruto,cps jbe rprdob caralh porr sapata jabut branc educ rat parapleg rondoniens doenc oval brut,cps jbe rprdob Caralho porrar sapatao jabuti branco educar rato paraplegico rondoniense doencar oval bruto,1
rt sapatao super indico,rt sapata sup indic,rt sapatao super indico,1
rt sapatao vao domina mundo,rt sapata vao domin mund,rt sapatao vao dominar mundo,1
varias sapatao linda escola kero,var sapata lind escol ker,varia sapatao linda escola Kero,1
puta folgada ta achando q q gosta pros cara pagar sapatao,put folg ta achand q q gost pros car pag sapata,putar folgar ta achar q q gostar pro cara pagar sapatao,1
dia sapatao,dia sapata,dia sapatao,1
basta frequentar minutinhos rexona pra nao surpresa gritarem sapatao,bast frequent minutinh rexon pra nao surpres grit sapata,bastar frequentar minutinho rexonar pra nao surpresa gritar sapatao,1
vc descobre mina vc conhece vista sapatao,vc descobr min vc conhec vist sapata,vc descobrir mina vc conhecer vista sapatao,1
sala so viado sapatao engracada mundo,sal so viad sapata engrac mund,sala so viar sapatao engracada mundo,1
parabens sapatao sdds,parabens sapata sdds,parabem sapatao sdds,1
rt poema sapatao sapatao vou pq gosto pepekas comer,rt poem sapata sapata vou pq gost pepek com,rt poema sapatao sapatao ir pq gosto pepekas comer,1
mundo sapatao imaginava,mund sapata imagin,mundo sapatao imaginar,1
gente sapatao q assusta,gent sapata q assust,gente sapatao q assustar,1
cara vive outro mundo nao mundo real refugiados sao vivem favelas vizinhas fortalezas,car viv outr mund nao mund real refugi sao viv favel vizinh fortal,cara viver outro mundo nao mundo real refugiado sao viver favelas vizinho fortaleza,1
incompetentes nao cuidam brasileiro poucos refugiados estao,incompetent nao cuid brasileir pouc refugi esta,incompetente nao cuidar brasileiro pouco refugiado estao,0
cumpanhero quebraram regras,cumpanher quebr regr,cumpanhero quebrar regra,0
nao conseguem pensar sentido lato alem ve frente olhos,nao consegu pens sent lat alem ve frent olhos,nao conseguir pensar sentido lato aler ve frente olho,0
dia macaco branco haha,dia macac branc hah,dia Macaco branco haha,1
imagino ow mandei body opressor pra duda hahahaha,imagin ow mand body opressor pra dud hahahah,imaginar ow Mandei body opressor pra duda hahahaho,0
parabens brou menina,parabens brou menin,parabem brar menina,0
parabens irmao saude paz amem,parabens irma saud paz amem,parabem irmao saude paz amem,0
ah convivendo comigo fds precisava pensando mtas coisas trabalhando rs,ah conviv comig fds precis pens mtas cois trabalh rs,ah conviver comigo fds precisar pensar mta coisa trabalhar rs,0
sono rs cheiros tb adorei,son rs cheir tb ador,sono rs cheiro tb adorar,0
oww linda trabalho amanha,oww lind trabalh amanh,oww lindo trabalho amanho,0
baummm hein gostosa ando reflexiva enmm paz tb mto,baummm hein gostos ando reflex enmm paz tb mto,Baummm hein gostosar ar reflexivar enmm paz tb mto,0
faco basico hahaha,fac basic hahah,faco basico Hahaha,0
tai otima sobremesas doces bolos,tai otim sobremes doc bol,tai otimo sobremeso doce bolo,0
nao deixe lembrancas saudades minarem enfrente ouca musicas linda msm conhece the corrs,nao deix lembranc saudad min enfrent ouc music lind msm conhec the corrs,nao deixar lembranco saudade minar enfrente ouca musico lindar msm conhecer the corrs,0
ouvindo musica preciso vc excelente linda foda pq to separando pqp,ouv music precis vc excelent lind fod pq to separ pqp,ouvir musica preciso vc excelente linda foda pq to separar pqp,0
cedemos encanto caimos boca caro,ced encant caim boc car,ceder encanto caimos boca caro,0
perfume pra mao jovem amantepra mao cappice,perfum pra mao jov amantepr mao cappic,perfumir pra mao jovem amantepra mao cappice,1
estimo foda sera profissional,estim fod ser profissional,estimo foda ser profissional,1
dia sapatao vida,dia sapata vid,dia sapatao vida,1
falei kkkk,fal kkkk,falar kkkk,0
n ta errado epesquisa gente burra mulher trabalha homem,n ta errad epesquis gent burr mulh trabalh hom,n ta errar epesquisar gente burrar mulher trabalhar homem,1
linha bones,linh bon,linha bone,0
jhu viado lindo dj luizinho dia sapatao gostoza,jhu viad lind dj luizinh dia sapata gostoz,jhu viar lir dj luizinho dia sapatao gostoza,1
enem questao oooooooooooooooooooooooooooooooooooooooooooooo sometimes vida gado ana julia pa gangnam style,enem questa oooooooooooooooooooooooooooooooooooooooooooooo sometim vid gad ana jul pa gangn style,enem questao oooooooooooooooooooooooooooooooooooooooooooooo sometime vidar gado ano julio pa gangnar style,0
extra imagine branco fazendo muculmano noticia pais inteiro,extra imagin branc faz muculman notic pais inteir,extra imagine branco fazer muculmano noticia pai inteiro,1
extraoficial terrorista louvre egipcio anos chegou franca mes passado equipe,extraoficial terror louvr egipci anos cheg franc mes pass equip,extraoficial terrorista louvre egipcio ano chegar franca mes passado equipe,0
futebol escolinha adc santana adc pedreira copa rio branco amparo,futebol escolinh adc santan adc pedreir cop rio branc ampar,futebol escolinha adc santano adc pedreiro Copa Rio branco amparo,0
max tomar cu entao max gorda feia max amor voce leticia gorda maxwell,max tom cu enta max gord fei max amor voc letic gord maxwell,max tomar cu entao max gorda feio max amor voce leticia gordar maxwell,1
la casa,la cas,la casa,0
deixa adivinharpessima relacao pai gorda feia sequer assediada alguemacho hein,deix adivinharpessim relaca pai gord fei sequ assedi alguemach hein,deixar adivinharpessimar relacao pai gordar feio sequer assediar alguemacho hein,1
aaaaaaa falar trabalho refugiados nao vou conseguir,aaaaaaa fal trabalh refugi nao vou consegu,aaaaaaa falar trabalho refugiado nao ir conseguir,0
aaaaaa turma homens prof fala cabo sapatao conector femea femea mundo olha pra mim,aaaaaa turm homens prof fal cab sapata conector fem fem mund olha pra mim,aaaaaa turma homem prof falar cabo sapatao conector femea femea mundo olhar pra eu,1
afronta portugueses nao pnr portugal imigracao,afront portugues nao pnr portugal imigraca,afronta português nao pnr Portugal imigracao,0
agencia livead sao paulo adquiriu exemplares livro meuamigosecreto feminismo alem redes,agenc livead sao paul adquir exempl livr meuamigosecret femin alem red,agencia Livead sao Paulo adquirir exemplar livro meuamigosecreto feminismo aler rede,0
alemanha tornou sentir beneficios imigrantes invasao islamica,alemanh torn sent benefici imigr invasa islam,Alemanha tornar sentir beneficio imigrante invasao islamico,1
mao dia namoradosa calha dia mulher benficadortmund criado testar relacionamentos benfiquistas,mao dia namorad calh dia mulh benficadortmund cri test relacion benfiqu,mao dia namoradoso calhar dia mulher benficadortmund criar testar relacionamento benfiquista,0
ameaca terrorismo radical islamico real acontece europa oriente medio tribunais,ameac terror radical islam real acontec europ orient medi tribun,ameacar terrorismo radical islamico Real acontecer Europa oriente medio tribunal,0
ampla sao retardados so falam merda so ganham fama jovens sao debeis mentais,ampla sao retard so fal merd so ganh fam jovens sao deb ment,amplo sao retardar so falar Merda so ganhar fama jovem sao debel mental,1
ja perder linha verniz tolerantes acaba estalar,ja perd linh verniz toler acab estal,ja perder linha Verniz tolerante acabar estalar,1
atencao finalmente voltada infiltrados desocupados serao pegos,atenca final volt infiltr desocup sera peg,atencao finalmente voltar infiltrado desocupar serao pego,0
avaliar quantidade malta morreu in memoriam ano durar horitas oscars,avali quantidad malt morr in memor ano dur horit oscars,avaliar quantidade malta morrer in memor ano durar horita oscar,1
abaixo exemplos manifestacao direito orgulho hetero,abaix exempl manifestaca direit orgulh heter,abaixo exemplo Manifestacao direito orgulho hetero,0
bazofia jesus tao nao assumir erros ate abafa palhinha,bazof jesus tao nao assum erros ate abaf palhinh,bazofia jesus tao nao assumir erro ate abafar palhinha,1
abdnsndnns sair burca pra nao mostrar cara nao ninguem encima,abdnsndnns sair burc pra nao mostr car nao ningu encim,abdnsndnns sair burca pra nao mostrar cara nao ninguem encimo,1
aberracao adulto impor criancas flacida relacao ideologia genero q naoaideologiadegenero,aberraca adult impor crianc flac relaca ideolog gener q naoaideologiadegener,aberracao adulto impor crianca flacir relacao ideologia genero q naoaideologiadegenero,1
abertas inscricoes iii festival danca acontecera abril estacao cabo branco,abert inscrico iii festival danc acontec abril estaca cab branc,aberta inscricoes iii festival danca acontecerar abril estacao Cabo branco,0
abismo desigualdade injustica renovarportugal portugal,abism desigualdad injust renovarportugal portugal,abismo desigualdade injustico renovarportugal Portugal,0
bomba encontrada nazare detonada ja panama quase ha ano expresso espera brigada minas armadilhas,bomb encontr nazar deton ja panam quas ha ano express esper brig min armadilh,bomba encontrar nazare detonar ja panamar quase ha ano expresso esperar brigar mino armadilha,0
aborto crime repugnante vida tao fragil indefesa,abort crim repugn vid tao fragil indefes,aborto crime repugnante vidar tao fragil indefês,0
abri janela tava gorda apartamento frente olhando pra chorando acho caiu empadinha,abri janel tav gord apart frent olhand pra chor acho caiu empadinh,abri janela tar gordar apartamento frente olhar pra chorando achar cair empadinha,1
heueheueheu fiquei achando branco arroz tb nao faco ideia olha gosto acai,heueheueh fiqu achand branc arroz tb nao fac ide olha gost aca,heueheueher fiquei achar branco arroz tb nao faco ideia olhar gostar acair,0
burra mulher esqueceu celular onibus ta chorando busao queria nao rir,burr mulh esquec celul onibus ta chor busa quer nao rir,burrar mulher esquecer celular onibu ta chorar busao querer nao rir,1
acaba chegar redacao radio angola seguinte informacao pedro gonga ja liberdade nao,acab cheg redaca radi angol seguint informaca pedr gong ja liberdad nao,acabar chegar redacao radio Angola seguinte informacao Pedro Gonga ja liberdade nao,0
acabamos adicionar data tour overdose tourette fev covilha bilhetes,acab adicion dat tour overdos tourett fev covilh bilhet,acabamos adicionar data tour overdose tourette fev covilha bilhete,0
acabamos adicionar data tour overdose tourette fev ericeira bilhetes fnac,acab adicion dat tour overdos tourett fev ericeir bilhet fnac,acabamos adicionar data tour overdose tourette fev ericeiro bilhete fnac,0
acabei comemorar dia internacional mulher lavando louca diadamulher,acab comemor dia internacional mulh lav louc diadamulh,acabar comemorar dia internacional mulher lavar louco diadamulher,0
acabei casos cunhada vascarpim ferias estao rendendo arte rsss,acab cas cunh vascarpim fer esta rend arte rsss,acabar caso cunhar vascarpim feria estao render arte rsss,0
acabei ouvir cigana q chineses sao sujo higiene q vive dorme cliche morreu hj h,acab ouv cigan q chines sao suj higien q viv dorm clich morr hj h,acabar ouvir cigano q chinês sao sujo higiene q viver dorme cliche morrer hj h,1
acabei ouvir casal rastas pessoas passam cheiramos malpffffelas cheiram champo,acab ouv casal rast pesso pass cheir malpffffel che champ,acabar ouvir casal rasto pessoa passar cheiramo malpffffela cheir champo,0
acabei pagar reais carregador pq esqueci ja comecando dia sentindo mulher burra brasil,acab pag rea carreg pq esquec ja comec dia sent mulh burr brasil,acabar pagar real Carregador pq esqueci ja comecar dia sentir mulher burra Brasil,1
acabo nomear general hr mcmaster conselheiro seguranca nacional,acab nom general hr mcmast conselheir seguranc nacional,acabo nomear general hr mcmaster conselheiro seguranca nacional,0
feliz dia mulher pra feminista vejo quao burra sociedade,feliz dia mulh pra femin vej qua burr sociedad,feliz dia mulher pra feminista vejo quao burrar Sociedade,1
cadeira copo lula,cadeir cop lul,cadeira copo Lula,1
base militar andrews ministro shinzo hoje,bas milit andrews ministr shinz hoj,base militar andrews ministro shinzo hoje,0
campanha continuaeducacaosemideologiadegenero acesse adquira livros,campanh continuaeducacaosemideologiadegener acess adqu livr,campanha continuaeducacaosemideologiadegenero acer adquirar livro,0
cara feia vivian gorda roberta sao melhores coisas eh bbb,car fei vivian gord robert sao melhor cois eh bbb,cara feio vivian gordar roberto sao bom coisa eh bbb,1
cara gorda feia roberta bbb,car gord fei robert bbb,cara gordar feio robrir bbb,1
accoes pnr oeiras cascais portugal,acco pnr oeir casc portugal,accoes pnr oeira cascal Portugal,0
aceitei trocar benfica jantar romantico namorada pagasse gasolina amanha la estarei catedral,aceit troc benfic jant romant namor pag gasolin amanh la estar catedral,aceitar trocar Benfica jantar romantico namorar pagasse gasolina amanho la estarei catedral,0
aceite chifres joaquinresponde,aceit chifr joaquinrespond,aceitar chifr joaquinresponde,0
censura democratica pior arbitraria hipocrita cobarde finge nao existir existe,censur democrat pior arbitr hipocrit cobard fing nao exist exist,censura democratico mau arbitraria hipocrito cobarde finge nao existir existir,0
acham bandido machista to entendendo logica feminista atitude bandido cometido,acham band machist to entend logic femin atitud band comet,achar bander machista to entender logica feminista atitude bander cometer,0
achei pagina,ache pagin,achar pagina,0
